Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas NA,Vendas EU,Vendas JP,Outras vendas,Vendas globais,Pontuacao da critica,Contagem de criticas,Pontuacao dos usuarios,Contagem de usuarios,Desenvolvedora,Classificacao
Marvel vs. Capcom 3: Fate of Two Worlds,5,2011.0,9,12,0.81,0.28,0.11,0.14,1.34,84.0,56.0,7.3,147.0,48,2
Doom 3,13,2005.0,6,4,0.85,0.43,0.0,0.06,1.34,88.0,71.0,7.4,116.0,67,1
Tom Clancy's Rainbow Six: Siege,17,2015.0,6,5,0.77,0.45,0.0,0.12,1.34,74.0,24.0,6.9,252.0,52,1
F1 2010,5,2010.0,2,34,0.25,0.75,0.08,0.26,1.34,84.0,46.0,7.8,83.0,306,0
Monster Hunter Freedom,16,2005.0,3,12,0.24,0.03,1.03,0.04,1.34,71.0,34.0,8.6,78.0,48,2
Donkey Kong Jungle Beat,19,2004.0,1,0,0.84,0.22,0.24,0.04,1.34,80.0,49.0,8.3,30.0,0,3
Need for Speed Carbon,6,2006.0,2,7,1.22,0.05,0.05,0.01,1.34,74.0,26.0,8.4,60.0,35,3
Lost Planet: Extreme Condition,4,2006.0,6,12,1.09,0.04,0.1,0.1,1.34,79.0,76.0,7.1,187.0,48,2
Max Payne 2: The Fall of Max Payne,6,2003.0,6,2,0.65,0.51,0.0,0.17,1.34,73.0,27.0,8.2,63.0,307,1
Battlefield: Bad Company,5,2008.0,6,7,0.76,0.35,0.05,0.18,1.34,84.0,50.0,8.1,203.0,29,2
MVP Baseball 2004,6,2004.0,0,7,1.1,0.06,0.0,0.18,1.34,90.0,28.0,8.6,51.0,18,0
Alan Wake,4,2010.0,8,1,0.66,0.5,0.05,0.13,1.33,83.0,100.0,8.1,1156.0,308,2
Metroid Prime 2: Echoes,19,2004.0,6,0,0.87,0.35,0.07,0.04,1.33,92.0,60.0,8.8,279.0,40,2
Corvette,6,2004.0,2,71,0.65,0.51,0.0,0.17,1.33,57.0,15.0,6.5,21.0,309,0
WWE SmackDown vs Raw 2008,5,2007.0,9,28,0.62,0.49,0.01,0.2,1.33,74.0,27.0,7.3,41.0,156,2
Skylanders SWAP Force,4,2013.0,1,4,0.86,0.34,0.0,0.12,1.32,83.0,37.0,5.7,45.0,67,3
Grand Theft Auto: Chinatown Wars,3,2009.0,8,2,0.58,0.56,0.05,0.14,1.32,93.0,85.0,8.3,280.0,25,1
UFC Undisputed 2010,4,2010.0,9,28,0.9,0.31,0.0,0.11,1.32,84.0,70.0,6.7,80.0,156,2
World of Warcraft: Wrath of the Lich King,14,2008.0,3,4,0.01,0.13,0.0,1.18,1.32,91.0,47.0,7.5,930.0,41,2
NFL 2K3,6,2002.0,0,10,1.06,0.08,0.0,0.18,1.32,93.0,20.0,7.4,25.0,83,0
Assassin's Creed III: Liberation,22,2012.0,8,5,0.53,0.48,0.06,0.24,1.32,70.0,71.0,7.2,318.0,12,1
Your Shape: Fitness Evolved,4,2010.0,0,5,0.79,0.41,0.0,0.11,1.32,73.0,32.0,7.5,25.0,52,0
Need for Speed Underground Rivals,16,2005.0,2,7,0.69,0.37,0.02,0.24,1.32,74.0,36.0,8.5,38.0,151,0
Rage,5,2011.0,6,6,0.47,0.58,0.06,0.2,1.31,81.0,37.0,6.2,353.0,259,1
LEGO Harry Potter: Years 1-4,5,2010.0,8,19,0.55,0.55,0.0,0.21,1.31,79.0,42.0,8,52.0,50,3
Madagascar,6,2005.0,1,4,0.78,0.45,0.0,0.07,1.31,69.0,25.0,7.4,25.0,140,3
The Witcher 3: Wild Hunt,17,2015.0,3,25,0.69,0.5,0.0,0.11,1.31,91.0,13.0,9.2,3963.0,81,1
Turok: Evolution,6,2002.0,6,30,0.64,0.5,0.0,0.17,1.31,61.0,20.0,7.3,27.0,310,1
[Prototype],4,2009.0,8,4,0.84,0.35,0.0,0.12,1.31,78.0,83.0,7.8,356.0,311,1
Burnout 3: Takedown,13,2004.0,2,7,0.84,0.43,0.0,0.04,1.31,94.0,76.0,7.2,139.0,139,2
The Beatles: Rock Band,4,2009.0,5,31,0.97,0.23,0.0,0.11,1.3,89.0,76.0,8.6,127.0,58,2
NBA Live 07,6,2006.0,0,7,1.07,0.04,0.02,0.17,1.3,63.0,12.0,6,39.0,18,0
Yoshi's Woolly World,18,2015.0,1,0,0.62,0.47,0.11,0.1,1.3,78.0,83.0,8.5,376.0,312,0
Skylanders Giants,4,2012.0,8,4,0.75,0.44,0.0,0.11,1.3,80.0,35.0,6.6,38.0,140,3
SingStar '80s,6,2005.0,5,3,0.27,0.02,0.0,1.02,1.3,78.0,22.0,8.3,6.0,313,2
Tekken 6,4,2009.0,9,25,0.71,0.41,0.05,0.12,1.3,80.0,59.0,7,132.0,314,2
Assassin's Creed Syndicate,17,2015.0,8,5,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,104,1
Pokemon Ranger: Guardian Signs,3,2010.0,3,0,0.5,0.16,0.58,0.05,1.29,68.0,25.0,8.2,25.0,315,0
LEGO Batman: The Videogame,5,2008.0,8,19,0.72,0.39,0.0,0.19,1.29,75.0,24.0,7.7,33.0,50,3
Crysis 2,5,2011.0,8,7,0.46,0.56,0.06,0.21,1.29,85.0,54.0,7.2,406.0,297,1
Pirates of the Caribbean: The Curse of the Black Pearl,8,2003.0,1,71,0.93,0.34,0.0,0.02,1.29,49.0,10.0,6.2,5.0,316,0
Namco Museum DS,3,2007.0,5,10,1.13,0.01,0.06,0.09,1.29,67.0,19.0,5.9,8.0,317,0
Deal or No Deal,0,2009.0,5,74,1.2,0.0,0.0,0.09,1.29,56.0,4.0,5,5.0,240,0
Transformers,6,2004.0,6,10,0.63,0.49,0.0,0.16,1.29,75.0,51.0,8.6,27.0,318,2
Dying Light,17,2015.0,8,19,0.86,0.3,0.01,0.12,1.29,74.0,26.0,7.8,387.0,171,1
Fallout 4,14,2015.0,3,6,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,17,1
Sonic Colors,3,2010.0,1,8,0.69,0.47,0.01,0.12,1.29,79.0,26.0,7.9,66.0,117,0
Assassin's Creed: Rogue,5,2014.0,8,5,0.46,0.56,0.06,0.2,1.29,72.0,53.0,7.5,292.0,319,1
EA Playground,0,2007.0,0,7,0.68,0.47,0.0,0.13,1.29,66.0,32.0,7.6,30.0,35,0
The Elder Scrolls Online,17,2015.0,3,6,0.78,0.38,0.0,0.12,1.28,77.0,11.0,8.4,613.0,320,1
Champions of Norrath,6,2004.0,3,75,0.63,0.49,0.0,0.16,1.28,85.0,51.0,8.4,57.0,321,2
Manhunt,6,2003.0,8,2,0.63,0.49,0.0,0.16,1.28,76.0,47.0,8.3,136.0,3,1
Need for Speed Carbon,0,2006.0,2,7,0.45,0.66,0.02,0.15,1.28,67.0,21.0,7.3,26.0,35,3
Silent Hill 2,6,2001.0,8,14,0.62,0.49,0.0,0.16,1.28,89.0,34.0,8.9,557.0,85,1
Castlevania: Symphony of the Night,12,1997.0,1,14,0.58,0.4,0.21,0.08,1.27,93.0,12.0,9.4,358.0,69,2
Guitar Hero: Aerosmith,0,2008.0,5,4,1.03,0.14,0.0,0.1,1.27,73.0,16.0,7.2,19.0,67,2
The LEGO Movie Videogame,4,2014.0,8,19,0.69,0.47,0.0,0.11,1.27,69.0,8.0,7.2,26.0,182,3
The Sims 2: Nightlife,14,2005.0,7,7,1.22,0.05,0.0,0.0,1.27,76.0,31.0,6.6,71.0,89,2
Dark Souls II,5,2014.0,3,25,0.4,0.33,0.4,0.15,1.27,91.0,69.0,8.1,1107.0,163,2
Kid Icarus: Uprising,10,2012.0,8,0,0.48,0.35,0.36,0.07,1.27,83.0,75.0,8.7,487.0,323,3
Pokemon Mystery Dungeon: Gates to Infinity,10,2012.0,3,0,0.44,0.29,0.47,0.07,1.27,59.0,46.0,6.3,134.0,324,0
LEGO Batman: The Videogame,6,2008.0,8,19,0.72,0.03,0.0,0.52,1.27,77.0,8.0,8.9,17.0,50,3
NBA 2K9,4,2008.0,0,2,1.0,0.16,0.0,0.11,1.27,84.0,32.0,7.2,44.0,83,0
Tony Hawk's Underground,13,2003.0,0,4,0.85,0.37,0.0,0.05,1.27,85.0,33.0,9.1,26.0,60,2
Metal Gear Solid V: Ground Zeroes,9,2014.0,8,14,0.45,0.47,0.17,0.18,1.27,75.0,70.0,6.2,1311.0,45,1
.hack//Infection Part 1,6,2002.0,3,10,0.49,0.38,0.26,0.13,1.27,75.0,35.0,8.5,60.0,325,2
Jillian Michaels' Fitness Ultimatum 2009,0,2008.0,0,41,0.96,0.2,0.0,0.11,1.27,30.0,4.0,2,23.0,326,0
Valkyria Chronicles,5,2008.0,3,8,0.71,0.19,0.24,0.13,1.27,86.0,60.0,8.6,433.0,180,2
WWE '12,4,2011.0,9,28,0.74,0.4,0.0,0.12,1.27,71.0,52.0,6.3,89.0,156,2
Sonic Adventure DX: Director's Cut,19,2003.0,1,8,0.87,0.3,0.06,0.03,1.27,57.0,27.0,7.9,139.0,125,0
Battle Arena Toshinden,12,1994.0,9,3,0.39,0.26,0.53,0.08,1.27,69.0,4.0,6.3,4.0,327,2
WWE '13,4,2012.0,8,28,0.72,0.44,0.0,0.11,1.27,78.0,46.0,8,110.0,328,2
Final Fantasy X / X-2 HD Remaster,5,2013.0,3,15,0.43,0.36,0.32,0.16,1.27,85.0,50.0,8.5,332.0,329,2
Need for Speed Rivals,5,2013.0,2,7,0.33,0.69,0.05,0.19,1.27,80.0,6.0,4.9,123.0,200,3
EA Sports Active 2,0,2010.0,0,7,0.76,0.39,0.0,0.11,1.26,79.0,8.0,8.1,22.0,35,0
Rockstar Games presents Table Tennis,0,2007.0,0,2,0.39,0.72,0.0,0.15,1.26,68.0,36.0,5.8,21.0,39,0
Football Manager 2011,14,2010.0,0,8,0.0,1.01,0.0,0.25,1.26,85.0,23.0,8.4,77.0,271,0
Tamagotchi Connection: Corner Shop,3,2005.0,7,10,0.1,0.02,1.12,0.01,1.26,59.0,20.0,7.7,6.0,209,0
Tomb Raider: Underworld,5,2008.0,8,21,0.45,0.55,0.05,0.22,1.26,75.0,42.0,7.2,166.0,330,2
LEGO Battles,3,2009.0,11,19,0.77,0.37,0.0,0.11,1.25,65.0,29.0,8.9,51.0,280,0
NBA Live 2001,12,2000.0,0,7,0.7,0.47,0.0,0.08,1.25,86.0,10.0,8,6.0,18,0
Saints Row IV,5,2013.0,8,41,0.56,0.41,0.09,0.19,1.25,76.0,26.0,6.3,278.0,119,1
Star Wars: The Force Unleashed,6,2008.0,8,18,0.49,0.0,0.01,0.75,1.25,68.0,7.0,7.4,33.0,213,2
SOCOM: U.S. Navy SEALs Confrontation,5,2008.0,6,3,0.94,0.16,0.02,0.13,1.25,63.0,64.0,6.9,223.0,331,1
Need for Speed: Most Wanted,4,2005.0,2,7,1.0,0.13,0.02,0.1,1.25,83.0,54.0,8.5,134.0,35,2
Pokemon XD: Gale of Darkness,19,2005.0,3,0,0.71,0.19,0.31,0.03,1.25,64.0,27.0,8.3,74.0,157,0
Black,6,2006.0,6,7,1.01,0.04,0.03,0.16,1.25,79.0,62.0,8.4,194.0,139,1
Tom Clancy's Rainbow Six: Vegas,5,2007.0,6,5,0.47,0.53,0.03,0.22,1.25,86.0,32.0,7.6,81.0,52,1
LittleBigPlanet PS Vita,22,2012.0,1,3,0.35,0.61,0.02,0.27,1.25,88.0,71.0,8.6,348.0,332,0
Pokemon Super Mystery Dungeon,10,2015.0,3,0,0.48,0.35,0.34,0.08,1.25,69.0,44.0,8.8,190.0,333,0
RollerCoaster Tycoon 2,14,2002.0,11,10,1.19,0.05,0.0,0.0,1.25,74.0,22.0,8.5,135.0,334,0
Lara Croft Tomb Raider: The Angel of Darkness,6,2003.0,8,21,0.61,0.48,0.0,0.16,1.25,52.0,37.0,6.2,106.0,56,2
Tom Clancy's Splinter Cell: Pandora Tomorrow,6,2004.0,8,5,0.52,0.56,0.0,0.17,1.25,87.0,45.0,8.6,34.0,149,2
Ratchet: Deadlocked,6,2005.0,6,3,0.85,0.03,0.22,0.14,1.24,81.0,51.0,8.9,155.0,73,2
Winter Sports: The Ultimate Challenge,0,2007.0,0,78,0.45,0.67,0.0,0.12,1.24,52.0,15.0,6.8,4.0,335,0
Baldur's Gate: Dark Alliance,6,2001.0,3,17,0.61,0.48,0.0,0.16,1.24,87.0,29.0,8.3,90.0,321,2
Oddworld: Abe's Oddysee,12,1997.0,1,13,0.75,0.44,0.0,0.06,1.24,85.0,10.0,9,96.0,336,2
Ridge Racer V,6,2000.0,8,25,0.24,0.19,0.75,0.06,1.24,78.0,20.0,7.7,6.0,32,0
WWE SmackDown vs. Raw 2009,6,2008.0,9,28,0.69,0.0,0.0,0.55,1.24,78.0,9.0,6.9,34.0,156,2
Star Wars Episode III: Revenge of the Sith,13,2005.0,8,4,0.82,0.38,0.0,0.04,1.24,61.0,44.0,8.1,54.0,105,2
[Prototype],5,2009.0,8,4,0.65,0.4,0.0,0.19,1.24,79.0,53.0,7.7,308.0,311,1
FIFA Street,5,2012.0,0,7,0.12,0.89,0.0,0.23,1.23,76.0,36.0,6.4,66.0,18,0
Frogger: The Great Quest,6,2001.0,1,14,0.6,0.47,0.0,0.16,1.23,32.0,6.0,4.6,29.0,69,0
Madden NFL 17,17,2016.0,0,7,1.08,0.02,0.0,0.13,1.23,83.0,30.0,5.9,39.0,18,0
Ninja Gaiden,13,2004.0,8,1,0.92,0.2,0.07,0.04,1.23,91.0,89.0,8.8,152.0,225,1
Crash Bandicoot: The Wrath of Cortex,13,2002.0,1,20,0.59,0.57,0.0,0.07,1.23,70.0,16.0,8.1,19.0,50,0
Driv3r,6,2004.0,2,10,0.6,0.47,0.0,0.16,1.23,57.0,51.0,5.5,102.0,42,1
Assassin's Creed: Bloodlines,16,2009.0,8,5,0.43,0.47,0.05,0.28,1.23,63.0,38.0,7.2,69.0,243,1
LEGO The Lord of the Rings,4,2012.0,8,19,0.64,0.49,0.0,0.11,1.23,80.0,49.0,8.5,73.0,182,3
Hyrule Warriors,18,2014.0,8,0,0.58,0.42,0.13,0.1,1.23,76.0,81.0,8.3,662.0,188,2
Donkey Kong Country 2,8,2004.0,1,0,0.79,0.27,0.12,0.04,1.23,80.0,22.0,9.1,37.0,43,0
Guitar Hero: Aerosmith,4,2008.0,5,4,1.0,0.13,0.0,0.1,1.23,70.0,59.0,6.7,48.0,60,2
Need for Speed Carbon,5,2006.0,2,7,0.49,0.5,0.03,0.2,1.23,75.0,31.0,7.3,42.0,35,3
Ben 10: Protector of Earth,0,2007.0,8,58,0.54,0.55,0.0,0.13,1.23,63.0,6.0,7.7,9.0,337,3
2010 FIFA World Cup South Africa,5,2010.0,0,7,0.3,0.64,0.07,0.22,1.23,82.0,56.0,7.8,57.0,35,0
Tales of Xillia,5,2011.0,3,25,0.29,0.18,0.67,0.09,1.22,78.0,65.0,8.2,468.0,247,2
Diddy Kong Racing DS,3,2007.0,2,0,1.09,0.03,0.0,0.09,1.22,63.0,39.0,7.5,27.0,43,0
Mario Power Tennis,19,2004.0,0,0,0.58,0.16,0.46,0.03,1.22,80.0,43.0,8.5,48.0,226,0
Golden Sun: The Lost Age,8,2002.0,3,0,0.61,0.27,0.27,0.07,1.22,86.0,29.0,9.5,150.0,226,0
Max Payne,13,2001.0,6,2,0.98,0.19,0.0,0.05,1.22,89.0,24.0,8.3,61.0,338,1
NBA 2K2,6,2002.0,0,8,0.59,0.46,0.01,0.15,1.22,89.0,19.0,7.8,16.0,83,0
Cars,6,2006.0,2,28,1.01,0.04,0.0,0.16,1.21,71.0,30.0,8.4,12.0,167,0
Fuzion Frenzy,13,2001.0,5,1,0.93,0.24,0.0,0.04,1.21,70.0,28.0,6.9,16.0,281,0
Call of Duty: Finest Hour,13,2004.0,6,4,0.78,0.4,0.0,0.04,1.21,73.0,55.0,7.8,22.0,132,2
Final Fantasy IV,3,2007.0,7,15,0.51,0.04,0.62,0.05,1.21,85.0,52.0,7.7,164.0,191,3
Star Wars: Battlefront II,16,2005.0,6,18,1.05,0.05,0.01,0.1,1.21,69.0,22.0,8.5,111.0,339,2
Super Street Fighter IV: 3D Edition,10,2011.0,9,12,0.55,0.44,0.14,0.09,1.21,85.0,69.0,8.1,206.0,48,2
Sly Cooper and the Thievius Raccoonus,6,2002.0,1,3,1.03,0.14,0.0,0.04,1.21,86.0,41.0,8.6,184.0,128,0
WWE 2K16,9,2015.0,0,2,0.41,0.6,0.0,0.2,1.21,73.0,47.0,7.4,237.0,156,2
Dino Crisis 2,12,2000.0,8,17,0.34,0.49,0.28,0.1,1.21,86.0,13.0,9,91.0,48,1
Need for Speed Underground,19,2003.0,2,7,0.69,0.48,0.01,0.03,1.21,83.0,24.0,9,45.0,22,0
Naruto Shippuden: Ultimate Ninja Storm 2,5,2010.0,9,25,0.42,0.46,0.15,0.18,1.21,76.0,34.0,8.3,130.0,325,2
Medal of Honor: Airborne,5,2007.0,6,7,0.25,0.69,0.03,0.25,1.21,75.0,16.0,7.6,39.0,22,2
Battlefield: Hardline,17,2015.0,6,7,0.72,0.37,0.01,0.11,1.21,71.0,27.0,5.1,299.0,189,1
Bayonetta,5,2009.0,8,8,0.44,0.39,0.21,0.16,1.21,87.0,54.0,7.7,355.0,340,1
Boom Blox,0,2008.0,4,7,0.71,0.38,0.0,0.12,1.21,85.0,61.0,8.6,105.0,36,0
The Lord of the Rings: The Fellowship of the Ring,6,2002.0,8,80,0.59,0.46,0.0,0.15,1.2,59.0,19.0,5.1,20.0,341,2
The Sims 2: Castaway,0,2007.0,7,7,0.44,0.63,0.0,0.14,1.2,73.0,19.0,8.2,10.0,89,2
ATV Offroad Fury 3,6,2004.0,2,81,1.0,0.04,0.0,0.16,1.2,78.0,37.0,8.4,16.0,342,0
F1 2011,5,2011.0,2,34,0.12,0.74,0.11,0.24,1.2,82.0,36.0,7.1,55.0,294,0
Pikmin 2,19,2004.0,11,0,0.48,0.13,0.56,0.03,1.2,90.0,54.0,9.1,137.0,0,0
Enter the Matrix,13,2003.0,8,10,0.72,0.43,0.01,0.04,1.2,65.0,33.0,7.1,75.0,110,2
Cars,16,2006.0,2,28,0.72,0.28,0.0,0.2,1.2,70.0,17.0,7,4.0,343,0
NHL 2002,6,2001.0,0,7,0.59,0.46,0.0,0.15,1.2,92.0,22.0,8.5,26.0,18,0
FIFA Soccer 11,16,2010.0,0,7,0.13,0.69,0.01,0.36,1.2,68.0,6.0,5.4,9.0,18,0
The Simpsons: Road Rage,8,2003.0,2,28,0.86,0.32,0.0,0.02,1.19,55.0,14.0,6.8,9.0,217,0
LEGO Batman 2: DC Super Heroes,5,2012.0,8,19,0.5,0.5,0.0,0.19,1.19,81.0,28.0,7.5,81.0,50,3
Captain Toad: Treasure Tracker,18,2014.0,4,0,0.53,0.38,0.19,0.09,1.19,81.0,78.0,8.6,377.0,28,0
SpongeBob SquarePants: Revenge of the Flying Dutchman,8,2002.0,1,28,0.92,0.23,0.0,0.04,1.19,71.0,4.0,7.7,7.0,67,0
Pro Evolution Soccer 2008,0,2008.0,0,14,0.09,0.84,0.11,0.15,1.19,83.0,19.0,8.4,43.0,69,0
Destiny: The Taken King,17,2015.0,6,4,0.85,0.23,0.0,0.12,1.19,89.0,11.0,5.2,393.0,11,2
Scarface: The World is Yours,6,2006.0,8,23,0.99,0.04,0.0,0.16,1.19,75.0,46.0,8.6,113.0,311,1
WWE SmackDown vs Raw 2008,16,2007.0,9,28,0.45,0.47,0.0,0.28,1.19,68.0,11.0,7.8,15.0,156,2
Spider-Man: The Movie,19,2002.0,8,4,0.86,0.27,0.01,0.04,1.19,76.0,14.0,7.3,11.0,6,0
Mario vs. Donkey Kong 2: March of the Minis,3,2006.0,4,0,0.73,0.03,0.36,0.07,1.19,76.0,32.0,7.9,17.0,344,0
Metal Gear Solid: Portable Ops,16,2006.0,8,14,0.38,0.35,0.38,0.08,1.18,87.0,54.0,8.2,147.0,45,1
Injustice: Gods Among Us,5,2013.0,9,19,0.48,0.5,0.01,0.2,1.18,78.0,37.0,7.9,282.0,133,2
Shenmue,21,1999.0,10,8,0.52,0.24,0.38,0.04,1.18,88.0,9.0,9.4,201.0,219,2
Just Dance 4,4,2012.0,5,5,0.9,0.19,0.0,0.09,1.18,77.0,23.0,7.7,36.0,12,3
Tony Hawk's Pro Skater 2,8,2001.0,0,4,0.85,0.31,0.0,0.02,1.18,95.0,16.0,7.5,22.0,67,0
One Piece: Pirate Warriors,5,2012.0,8,25,0.01,0.23,0.86,0.08,1.18,64.0,33.0,6.5,55.0,345,2
Gun,6,2005.0,6,4,0.98,0.04,0.0,0.16,1.17,77.0,43.0,8.7,70.0,60,1
Ty the Tasmanian Tiger,6,2002.0,1,7,0.57,0.45,0.0,0.15,1.17,70.0,14.0,8.8,60.0,213,0
Resident Evil: Operation Raccoon City,5,2012.0,8,12,0.48,0.24,0.36,0.1,1.17,52.0,36.0,4.9,222.0,331,1
LEGO Indiana Jones: The Original Adventures,16,2008.0,8,18,0.4,0.48,0.0,0.29,1.17,76.0,8.0,7.6,11.0,50,3
PokéPark Wii: Pikachu's Adventure,0,2009.0,10,0,0.53,0.16,0.42,0.06,1.17,62.0,22.0,7.2,36.0,315,0
WWE '12,5,2011.0,9,28,0.53,0.45,0.02,0.17,1.17,72.0,28.0,6.9,80.0,156,2
Cabela's Dangerous Hunts,6,2003.0,0,84,0.57,0.45,0.0,0.15,1.17,57.0,4.0,8.4,37.0,287,2
Grand Theft Auto V,14,2015.0,8,2,0.39,0.69,0.0,0.09,1.17,96.0,57.0,7.9,3756.0,3,1
Fallout: New Vegas,14,2010.0,3,6,0.59,0.45,0.0,0.14,1.17,84.0,39.0,8.6,2754.0,78,1
WWE SmackDown vs. Raw 2010,5,2009.0,9,28,0.48,0.48,0.01,0.2,1.17,81.0,38.0,8.1,55.0,156,2
Medal of Honor: Rising Sun,13,2003.0,6,7,0.76,0.36,0.0,0.05,1.17,65.0,23.0,5.8,28.0,36,2
Army of Two,5,2008.0,6,7,0.74,0.26,0.02,0.15,1.17,74.0,43.0,7.3,118.0,258,1
Spore,14,2008.0,11,7,0.03,1.06,0.0,0.08,1.17,84.0,75.0,5.3,1711.0,89,3
Mario vs. Donkey Kong,8,2004.0,4,0,0.68,0.25,0.21,0.02,1.17,81.0,43.0,8,31.0,0,0
LEGO Star Wars III: The Clone Wars,5,2011.0,8,18,0.52,0.46,0.0,0.19,1.16,76.0,36.0,7.3,34.0,50,3
Midnight Club 3: DUB Edition Remix,6,2006.0,2,2,0.97,0.04,0.0,0.16,1.16,85.0,19.0,8.9,53.0,39,3
Tom Clancy's Ghost Recon: Jungle Storm,6,2004.0,6,5,0.57,0.44,0.0,0.15,1.16,70.0,31.0,6.3,24.0,227,2
Bushido Blade,12,1997.0,9,3,0.39,0.27,0.43,0.08,1.16,83.0,13.0,7.9,16.0,346,2
Mirror's Edge,4,2008.0,1,7,0.51,0.51,0.01,0.13,1.16,79.0,82.0,7.6,328.0,29,2
Sonic the Hedgehog,5,2006.0,1,8,0.41,0.06,0.04,0.66,1.16,43.0,17.0,4.1,176.0,125,3
NASCAR Thunder 2002,6,2001.0,2,7,0.57,0.44,0.0,0.15,1.16,85.0,17.0,8.5,22.0,18,0
Your Shape: Fitness Evolved 2012,4,2011.0,0,5,0.7,0.36,0.0,0.1,1.16,77.0,13.0,7.6,21.0,12,0
FIFA 14,17,2013.0,0,7,0.41,0.66,0.0,0.09,1.16,88.0,22.0,5.8,328.0,35,0
Final Fantasy Tactics: The War of the Lions,16,2007.0,3,15,0.45,0.24,0.3,0.16,1.16,88.0,41.0,8,238.0,91,2
Sniper: Ghost Warrior,4,2010.0,6,86,0.54,0.5,0.0,0.12,1.16,45.0,39.0,5.8,89.0,347,1
Sonic Rush Adventure,3,2007.0,1,8,0.53,0.48,0.01,0.12,1.15,78.0,32.0,8.2,66.0,117,0
Worldwide Soccer Manager 2009,14,2008.0,7,8,0.0,1.14,0.0,0.01,1.15,83.0,29.0,8.1,30.0,271,0
Gauntlet: Dark Legacy,6,2001.0,8,39,0.56,0.44,0.0,0.15,1.15,73.0,15.0,8.3,30.0,162,2
Medal of Honor Heroes 2,16,2007.0,6,7,0.5,0.39,0.02,0.25,1.15,69.0,20.0,7.3,30.0,36,2
Bad Boys: Miami Takedown,6,2004.0,6,87,0.56,0.44,0.0,0.15,1.15,43.0,5.0,3.4,13.0,281,1
Medal of Honor: Warfighter,4,2012.0,8,7,0.59,0.45,0.01,0.1,1.15,53.0,43.0,5.4,437.0,290,1
FIFA Soccer 10,16,2009.0,0,7,0.15,0.67,0.01,0.31,1.15,83.0,9.0,7.9,14.0,18,0
Donkey Konga,19,2003.0,5,0,0.5,0.16,0.46,0.03,1.15,76.0,55.0,8.3,21.0,32,0
Call of Duty 4: Modern Warfare,14,2007.0,6,4,0.0,1.12,0.0,0.03,1.15,92.0,40.0,8.5,2360.0,7,1
Tak and the Power of Juju,6,2003.0,1,28,0.56,0.44,0.0,0.15,1.15,68.0,28.0,9,28.0,260,0
WWE 2K15,9,2014.0,0,2,0.39,0.57,0.0,0.19,1.15,62.0,44.0,5.1,164.0,156,2
Tenchu: Wrath of Heaven,6,2003.0,8,4,0.44,0.34,0.25,0.11,1.14,79.0,33.0,8.4,38.0,349,1
Shadow of the Colossus,6,2005.0,8,3,0.78,0.03,0.2,0.13,1.14,91.0,77.0,9.1,933.0,233,2
Brave Fencer Musashi,12,1998.0,3,9,0.25,0.17,0.65,0.07,1.14,81.0,12.0,8.5,17.0,14,0
Ninja Gaiden Sigma,5,2007.0,8,21,0.57,0.32,0.09,0.16,1.14,88.0,46.0,7.5,155.0,225,1
WWE 2K14,5,2013.0,0,2,0.49,0.46,0.0,0.19,1.14,74.0,22.0,7.5,121.0,156,2
Pokemon Rumble Blast,10,2011.0,8,0,0.47,0.26,0.35,0.07,1.14,56.0,36.0,7.1,50.0,350,3
007: Quantum of Solace,5,2008.0,8,4,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,47.0,6,2
Dance Dance Revolution Extreme 2,6,2005.0,7,14,0.95,0.04,0.0,0.16,1.14,76.0,27.0,9,21.0,170,3
The Lord of the Rings: The Return of the King,13,2003.0,8,7,0.71,0.38,0.0,0.05,1.14,84.0,31.0,9.1,31.0,107,2
Hot Shots Golf: Out of Bounds,5,2007.0,0,3,0.31,0.03,0.76,0.04,1.14,81.0,66.0,8.8,32.0,130,0
Sunset Overdrive,17,2014.0,6,1,0.63,0.4,0.0,0.1,1.14,81.0,89.0,7.7,1137.0,73,1
Mobile Suit Gundam: Federation vs. Zeon,6,2001.0,7,10,0.12,0.1,0.88,0.03,1.14,73.0,15.0,8.8,32.0,48,2
Naruto Shippuden: Ultimate Ninja Storm 4,9,2016.0,9,25,0.41,0.45,0.11,0.17,1.14,79.0,60.0,8.2,201.0,325,2
MechAssault,13,2002.0,7,1,1.01,0.1,0.0,0.03,1.13,87.0,32.0,8,47.0,351,2
Cars,8,2006.0,2,28,0.81,0.3,0.0,0.02,1.13,50.0,8.0,4.7,6.0,193,0
Watch Dogs 2,9,2016.0,8,5,0.37,0.58,0.0,0.18,1.13,83.0,88.0,7.8,621.0,52,1
LEGO Star Wars III: The Clone Wars,10,2011.0,8,18,0.61,0.43,0.0,0.09,1.13,67.0,25.0,6.1,31.0,50,3
Tom Clancy's Rainbow Six 3: Black Arrow,13,2004.0,6,5,0.99,0.12,0.0,0.02,1.13,84.0,55.0,8.6,14.0,52,1
Mirror's Edge,5,2008.0,1,7,0.31,0.58,0.02,0.22,1.13,79.0,66.0,7.8,362.0,29,2
Guitar Hero 5,4,2009.0,5,4,0.65,0.37,0.0,0.11,1.13,85.0,69.0,6.8,108.0,60,2
