Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas NA,Vendas EU,Vendas JP,Outras vendas,Vendas globais,Pontuacao da critica,Contagem de criticas,Pontuacao dos usuarios,Contagem de usuarios,Desenvolvedora,Classificacao,Media de pontuacao
Tales of Destiny,7,2006.0,4,26,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Stuntman: Ignition,6,2007.0,3,29,0.17,0.26,0.0,0.1,0.52,76.0,18.0,6.2,12.0,252,3,41.1
Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,4,2010.0,8,8,0.49,0.0,0.0,0.03,0.52,0.0,0.0,0.0,0.0,0,0,0.0
F.E.A.R. 2: Project Origin,5,2009.0,7,20,0.32,0.15,0.0,0.05,0.52,77.0,68.0,8.0,114.0,125,2,42.5
Mystery Dungeon: Shiren the Wanderer,4,2006.0,4,9,0.17,0.0,0.33,0.02,0.52,69.0,27.0,8.2,21.0,197,1,38.6
GT Pro Series,1,2006.0,3,6,0.46,0.01,0.02,0.04,0.52,41.0,15.0,4.0,21.0,359,1,22.5
Tiger Woods PGA Tour 11,5,2010.0,1,8,0.28,0.19,0.0,0.05,0.52,79.0,51.0,7.8,19.0,19,1,43.4
The Golden Compass,7,2007.0,9,9,0.13,0.0,0.0,0.39,0.52,46.0,10.0,5.2,6.0,111,4,25.6
Final Fantasy Chronicles,13,2001.0,4,55,0.29,0.2,0.0,0.03,0.52,89.0,15.0,9.1,37.0,92,3,49.05
F1 2009,17,2009.0,3,35,0.08,0.29,0.0,0.16,0.52,68.0,23.0,7.2,14.0,130,1,37.6
Syphon Filter 3,13,2001.0,7,4,0.29,0.2,0.0,0.03,0.52,73.0,19.0,8.5,36.0,437,2,40.75
Metal Gear Solid 2: Substance,7,2002.0,9,15,0.18,0.14,0.16,0.05,0.52,87.0,17.0,9.0,126.0,45,2,48.0
Tales of Symphonia: Dawn of the New World,1,2008.0,4,26,0.21,0.04,0.24,0.02,0.52,68.0,46.0,7.1,93.0,248,3,37.55
NBA Live 08,5,2007.0,1,8,0.47,0.0,0.0,0.04,0.52,73.0,37.0,5.3,19.0,36,1,39.15
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
We Love Katamari,7,2005.0,5,8,0.26,0.2,0.0,0.07,0.52,86.0,61.0,8.9,51.0,33,1,47.45
Sesame Street: Once Upon A Monster,5,2011.0,6,20,0.39,0.09,0.0,0.04,0.52,79.0,26.0,6.9,22.0,407,1,42.95
NCAA Football 2003,14,2002.0,1,8,0.39,0.11,0.0,0.02,0.52,90.0,14.0,8.2,15.0,19,1,49.1
We Cheer,1,2008.0,8,12,0.47,0.0,0.0,0.04,0.52,56.0,12.0,7.3,13.0,624,4,31.65
Madden NFL 07,6,2006.0,1,8,0.47,0.0,0.01,0.04,0.52,76.0,25.0,4.2,22.0,58,1,40.1
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
LEGO Jurassic World,19,2015.0,9,20,0.27,0.19,0.02,0.04,0.52,71.0,5.0,8.1,14.0,183,4,39.55
Mega Man 6,2,1993.0,2,13,0.28,0.07,0.16,0.01,0.52,0.0,0.0,0.0,0.0,0,0,0.0
NBA Live 09,6,2008.0,1,8,0.46,0.0,0.02,0.04,0.52,75.0,32.0,7.8,15.0,36,1,41.4
FIFA 12,17,2011.0,1,8,0.12,0.25,0.02,0.13,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Mission: Impossible,13,1999.0,9,53,0.29,0.2,0.0,0.03,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Rory McIlroy PGA Tour,10,2015.0,9,8,0.18,0.25,0.0,0.08,0.52,61.0,33.0,3.7,78.0,58,1,32.35
SingStar Dance,6,2010.0,6,4,0.09,0.31,0.0,0.11,0.52,65.0,21.0,3.9,8.0,224,3,34.45
Rival Schools: United By Fate,13,1998.0,10,13,0.12,0.08,0.28,0.03,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Lords of the Fallen,10,2014.0,4,16,0.18,0.24,0.02,0.08,0.52,68.0,45.0,6.6,425.0,626,2,37.3
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
J-League Pro Soccer Club o Tsukurou! 3,7,2003.0,1,9,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Tomb Raider: Legend,7,2006.0,9,22,0.25,0.19,0.02,0.06,0.52,82.0,43.0,7.1,96.0,299,3,44.55
Freedom Fighters,7,2003.0,7,8,0.25,0.2,0.0,0.07,0.52,81.0,26.0,8.4,57.0,127,3,44.7
Silent Hill: Origins,17,2007.0,9,15,0.22,0.15,0.04,0.1,0.52,78.0,40.0,7.8,107.0,628,2,42.9
Gun,14,2005.0,7,5,0.38,0.12,0.0,0.02,0.52,79.0,55.0,7.8,29.0,61,2,43.4
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Fight Night Round 3,17,2006.0,10,8,0.46,0.01,0.0,0.04,0.52,74.0,22.0,8.1,22.0,253,3,41.05
The Punisher,7,2005.0,9,29,0.25,0.2,0.0,0.07,0.52,68.0,44.0,8.2,56.0,120,2,38.1
Kirby and the Rainbow Curse,19,2015.0,2,1,0.22,0.13,0.12,0.04,0.52,73.0,72.0,8.0,227.0,35,1,40.5
Front Mission 3,13,1999.0,12,10,0.1,0.07,0.31,0.03,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,4,2006.0,6,1,0.0,0.0,0.52,0.0,0.52,0.0,0.0,0.0,0.0,0,0,0.0
SSX On Tour,7,2005.0,1,8,0.25,0.2,0.0,0.07,0.52,80.0,41.0,7.9,26.0,36,1,43.95
 Frozen: Olaf's Quest,4,2013.0,2,33,0.21,0.26,0.0,0.04,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Disgaea 3: Absence of Justice,6,2008.0,4,16,0.33,0.03,0.11,0.04,0.52,78.0,51.0,7.5,150.0,580,3,42.75
Tony Hawk's Pro Skater 3,9,2002.0,1,5,0.37,0.14,0.0,0.01,0.52,90.0,20.0,8.0,6.0,68,1,49.0
Way of the Samurai 3,6,2008.0,9,162,0.18,0.08,0.22,0.04,0.52,58.0,18.0,7.9,22.0,199,2,32.95
The Sims 2: Open for Business,15,2006.0,8,8,0.46,0.05,0.0,0.0,0.52,78.0,29.0,8.6,35.0,90,3,43.3
Rune Factory 2: A Fantasy Harvest Moon,4,2008.0,4,71,0.32,0.03,0.15,0.03,0.52,77.0,14.0,7.9,30.0,581,1,42.45
Harry Potter and the Prisoner of Azkaban,9,2004.0,9,8,0.37,0.14,0.0,0.01,0.52,69.0,11.0,8.1,12.0,244,1,38.55
Omega Boost,13,1999.0,7,4,0.17,0.11,0.2,0.03,0.52,0.0,0.0,0.0,0.0,0,0,0.0
NFL 2K3,14,2002.0,1,9,0.38,0.11,0.0,0.02,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Cars 2,6,2011.0,3,33,0.22,0.21,0.0,0.09,0.52,0.0,0.0,0.0,0.0,0,0,0.0
Go Diego Go! Safari Rescue,1,2008.0,9,3,0.47,0.0,0.0,0.04,0.52,0.0,0.0,0.0,0.0,0,0,0.0
SimAnimals,4,2009.0,8,8,0.26,0.2,0.0,0.05,0.52,70.0,10.0,7.5,4.0,23,1,38.75
NBA Live 2002,13,2001.0,1,8,0.29,0.19,0.0,0.03,0.52,81.0,6.0,8.8,9.0,36,1,44.9
Jampack Winter 2002,7,2002.0,6,4,0.25,0.2,0.0,0.07,0.52,0.0,0.0,0.0,0.0,0,0,0.0
LEGO Marvel Super Heroes,23,2013.0,9,20,0.11,0.29,0.0,0.11,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Way of the Samurai,7,2002.0,9,22,0.13,0.1,0.25,0.03,0.51,74.0,22.0,8.2,19.0,199,2,41.1
The 3rd Birthday,17,2010.0,4,16,0.13,0.07,0.27,0.05,0.51,71.0,56.0,6.1,113.0,629,2,38.55
Sonic & All-Stars Racing Transformed,19,2012.0,3,9,0.19,0.26,0.02,0.04,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Kung Fu Panda,6,2008.0,9,5,0.21,0.21,0.0,0.09,0.51,76.0,23.0,7.3,18.0,110,4,41.65
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Epic Mickey 2: The Power of Two,5,2012.0,9,33,0.32,0.15,0.0,0.04,0.51,59.0,35.0,5.5,22.0,435,1,32.25
Fishing Derby,16,0.0,1,5,0.48,0.03,0.0,0.01,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Pac-Man Fever,7,2001.0,6,4,0.25,0.2,0.0,0.07,0.51,47.0,14.0,6.3,7.0,75,1,26.65
Spectrobes: Beyond the Portals,4,2008.0,4,33,0.36,0.11,0.0,0.04,0.51,70.0,26.0,7.7,14.0,630,4,38.85
International Track & Field,13,1996.0,1,15,0.08,0.05,0.35,0.03,0.51,0.0,0.0,0.0,0.0,0,0,0.0
HSX HyperSonic.Xtreme,7,2002.0,3,163,0.25,0.2,0.0,0.07,0.51,53.0,17.0,8.4,8.0,631,1,30.7
Lair,6,2007.0,9,4,0.36,0.03,0.08,0.04,0.51,53.0,55.0,6.4,229.0,632,3,29.7
Madden NFL 2004,20,2003.0,1,8,0.4,0.1,0.0,0.01,0.51,94.0,19.0,7.7,17.0,58,1,50.85
Jikkyou Powerful Pro Yakyuu 10,7,2003.0,1,15,0.0,0.0,0.51,0.0,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Summoner,7,2000.0,4,29,0.25,0.2,0.0,0.07,0.51,74.0,16.0,7.8,12.0,120,3,40.9
Soul Sacrifice,23,2013.0,4,4,0.15,0.08,0.22,0.06,0.51,77.0,71.0,8.2,298.0,633,2,42.6
Virtual Pool,13,1997.0,1,118,0.28,0.19,0.0,0.03,0.51,0.0,0.0,0.0,0.0,0,0,0.0
DC Universe Online,6,2011.0,4,76,0.35,0.11,0.0,0.06,0.51,67.0,46.0,7.4,139.0,634,3,37.2
Jam With the Band,4,2008.0,6,1,0.0,0.0,0.51,0.0,0.51,0.0,0.0,0.0,0.0,0,0,0.0
NBA Live 07,17,2006.0,1,8,0.47,0.0,0.0,0.04,0.51,64.0,9.0,7.5,4.0,19,1,35.75
IL-2 Sturmovik: Birds of Prey,5,2009.0,8,12,0.23,0.23,0.0,0.05,0.51,80.0,43.0,8.4,18.0,523,3,44.2
100 All-Time Favorites,4,2009.0,5,6,0.35,0.12,0.0,0.04,0.51,0.0,0.0,6.2,6.0,13,1,3.1
The Walking Dead: Survival Instinct,6,2013.0,7,5,0.28,0.15,0.0,0.08,0.51,34.0,14.0,3.6,196.0,232,2,18.8
Major League Baseball 2K10,5,2010.0,1,3,0.47,0.0,0.0,0.04,0.51,76.0,26.0,7.6,38.0,84,1,41.8
Alice in Wonderland,1,2010.0,11,33,0.25,0.21,0.0,0.05,0.51,69.0,18.0,7.4,13.0,586,4,38.2
Ratatouille,6,2007.0,9,29,0.09,0.32,0.0,0.1,0.51,55.0,8.0,4.8,4.0,173,1,29.9
"SpongeBob SquarePants: Lights, Camera, Pants!",9,2005.0,6,29,0.37,0.14,0.0,0.01,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Wrecking Crew,2,1985.0,2,1,0.0,0.0,0.51,0.0,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Rugrats: Scavenger Hunt,12,1999.0,6,29,0.41,0.09,0.0,0.01,0.51,0.0,0.0,0.0,0.0,0,0,0.0
International Superstar Soccer 2000 (All region sales),12,1999.0,1,15,0.01,0.26,0.22,0.02,0.51,0.0,0.0,0.0,0.0,0,0,0.0
NBA Live 2004,14,2003.0,1,8,0.44,0.04,0.0,0.02,0.51,85.0,19.0,8.2,11.0,19,1,46.6
Iron Man,4,2008.0,9,9,0.35,0.12,0.0,0.05,0.51,56.0,10.0,7.0,4.0,251,4,31.5
Alien: Isolation,18,2014.0,7,9,0.22,0.24,0.0,0.04,0.51,78.0,24.0,7.8,314.0,219,2,42.9
Dai-4-Ji Super Robot Taisen S,13,1996.0,12,57,0.0,0.0,0.48,0.03,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Pro Evolution Soccer 2010,1,2009.0,1,15,0.12,0.27,0.06,0.05,0.51,82.0,13.0,8.4,17.0,70,1,45.2
Disney's Kim Possible: Revenge of Monkey Fist,9,2002.0,2,29,0.37,0.14,0.0,0.01,0.51,62.0,4.0,8.8,8.0,81,1,35.4
Naruto Shippuden: Clash of Ninja Revolution 3,1,2009.0,10,1,0.44,0.03,0.0,0.04,0.51,74.0,23.0,8.1,21.0,380,3,41.05
Ace Combat Zero: The Belkan War,7,2006.0,8,26,0.15,0.12,0.2,0.04,0.51,75.0,45.0,8.4,55.0,33,3,41.7
Dragon Age: Origins,15,2009.0,4,8,0.0,0.46,0.0,0.05,0.51,91.0,67.0,8.6,3542.0,117,2,49.8
Dynasty Warriors,17,2004.0,9,49,0.18,0.0,0.3,0.02,0.51,62.0,26.0,7.3,24.0,394,3,34.65
NHL 07,7,2006.0,1,8,0.42,0.02,0.0,0.07,0.51,76.0,11.0,4.6,51.0,19,4,40.3
SoulCalibur: Broken Destiny,17,2009.0,10,26,0.12,0.2,0.07,0.12,0.51,80.0,52.0,6.2,45.0,248,3,43.1
Dishonored,15,2012.0,9,7,0.26,0.19,0.0,0.06,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Dragon Ball: Raging Blast,5,2009.0,10,26,0.36,0.08,0.02,0.04,0.51,56.0,29.0,7.5,33.0,257,3,31.75
Naruto Shippuden: Ultimate Ninja Storm 3,5,2013.0,10,26,0.29,0.16,0.01,0.05,0.51,70.0,16.0,7.7,67.0,326,3,38.85
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
The BIGS,7,2007.0,1,3,0.25,0.19,0.0,0.06,0.51,71.0,4.0,4.8,4.0,274,1,37.9
WWE 2K16,6,2015.0,1,3,0.22,0.21,0.0,0.08,0.51,0.0,0.0,6.0,21.0,157,3,3.0
Final Fantasy,26,2000.0,4,10,0.0,0.0,0.51,0.0,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Dragon Ball Z: Supersonic Warriors,9,2004.0,10,11,0.36,0.13,0.0,0.01,0.51,73.0,26.0,7.0,21.0,497,3,40.0
NBA Ballers,14,2004.0,1,40,0.37,0.11,0.0,0.02,0.51,82.0,35.0,8.1,8.0,163,1,45.05
Silent Hill 4: The Room,7,2004.0,9,15,0.25,0.19,0.0,0.06,0.51,76.0,54.0,7.8,191.0,86,2,41.9
River Raid II,16,1988.0,7,5,0.47,0.03,0.0,0.01,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Capcom Classics Collection,7,2005.0,6,13,0.22,0.17,0.05,0.06,0.51,78.0,30.0,8.4,5.0,81,3,43.2
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Monopoly Party,7,2002.0,6,53,0.25,0.19,0.0,0.06,0.51,0.0,0.0,0.0,0.0,0,0,0.0
Tiger Woods PGA Tour 13,5,2012.0,1,8,0.29,0.18,0.0,0.04,0.51,77.0,47.0,5.6,39.0,23,1,41.3
NHL FaceOff 98,13,1997.0,1,4,0.28,0.19,0.0,0.03,0.51,0.0,0.0,0.0,0.0,0,0,0.0
The Saboteur,5,2009.0,9,8,0.26,0.2,0.0,0.05,0.51,73.0,69.0,8.2,141.0,94,2,40.6
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Sonic Riders,7,2006.0,3,9,0.42,0.02,0.0,0.07,0.5,55.0,41.0,7.2,25.0,126,1,31.1
Looney Tunes: Back in Action,7,2003.0,2,20,0.25,0.19,0.0,0.06,0.5,51.0,9.0,7.5,6.0,635,1,29.25
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Midnight Magic,16,1983.0,9,11,0.47,0.03,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0,0,0.0
NHL 09,5,2008.0,1,8,0.45,0.01,0.0,0.04,0.5,88.0,41.0,8.4,61.0,36,4,48.2
Bully: Scholarship Edition,1,2008.0,9,3,0.17,0.28,0.0,0.06,0.5,83.0,34.0,8.4,60.0,107,3,45.7
WWE SmackDown vs. RAW 2007,5,2006.0,10,29,0.44,0.03,0.0,0.04,0.5,81.0,50.0,7.8,46.0,157,3,44.4
Midnight Club II,14,2003.0,3,3,0.42,0.06,0.0,0.02,0.5,86.0,33.0,7.6,12.0,40,3,46.8
Monster Hunter Freedom 2,6,2011.0,4,13,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Ratatouille,1,2007.0,9,29,0.43,0.03,0.0,0.04,0.5,62.0,16.0,6.7,12.0,453,1,34.35
Avatar: The Last Airbender,20,2006.0,11,29,0.39,0.1,0.0,0.01,0.5,60.0,10.0,6.5,4.0,636,4,33.25
Blue's Clues: Blue's Big Musical,13,2001.0,6,29,0.28,0.19,0.0,0.03,0.5,0.0,0.0,0.0,0.0,0,0,0.0
The Mummy Returns,7,2001.0,9,21,0.25,0.19,0.0,0.06,0.5,44.0,13.0,7.0,11.0,282,3,25.5
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Paws & Claws: Dogs & Cats Best Friends,4,2007.0,8,29,0.46,0.01,0.0,0.04,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Hitman: Blood Money,7,2006.0,9,22,0.25,0.19,0.0,0.06,0.5,83.0,36.0,8.4,104.0,127,2,45.7
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Chopper Command,16,1982.0,7,5,0.47,0.03,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Lost: Via Domus,6,2008.0,9,6,0.19,0.22,0.0,0.09,0.5,54.0,30.0,6.9,28.0,53,3,30.45
Crash: Mind Over Mutant,7,2008.0,2,24,0.25,0.19,0.0,0.06,0.5,73.0,7.0,6.5,36.0,312,4,39.75
Activision Anthology,7,2002.0,6,5,0.25,0.19,0.0,0.06,0.5,75.0,13.0,7.7,6.0,637,1,41.35
Picross DS,4,2007.0,5,1,0.17,0.02,0.3,0.02,0.5,83.0,33.0,8.7,36.0,216,1,45.85
Pro Evolution Soccer 2012,5,2011.0,9,15,0.1,0.34,0.0,0.07,0.5,78.0,36.0,6.6,55.0,70,1,42.3
Final Fantasy II Anniversary Edition,17,2007.0,4,16,0.36,0.02,0.07,0.04,0.5,63.0,31.0,7.1,24.0,92,3,35.05
Test Drive Unlimited,17,2007.0,3,11,0.08,0.27,0.0,0.15,0.5,80.0,18.0,7.3,29.0,319,4,43.65
Harry Potter and the Half-Blood Prince,17,2009.0,9,8,0.18,0.2,0.0,0.12,0.5,0.0,0.0,6.6,9.0,286,1,3.3
Unit 13,23,2012.0,7,4,0.25,0.13,0.04,0.07,0.5,71.0,60.0,7.5,169.0,93,3,39.25
R.U.S.E.,6,2010.0,12,6,0.18,0.22,0.02,0.08,0.5,76.0,37.0,7.3,50.0,638,3,41.65
Theatrhythm: Final Fantasy,11,2012.0,6,16,0.22,0.07,0.18,0.02,0.5,78.0,60.0,7.8,113.0,115,4,42.9
Prince of Persia Trilogy,6,2010.0,9,6,0.17,0.24,0.0,0.09,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Goldeneye 007: Reloaded,5,2011.0,7,5,0.25,0.2,0.0,0.05,0.5,72.0,56.0,6.0,96.0,104,3,39.0
Rugrats in Paris: The Movie,12,2000.0,9,29,0.4,0.09,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,4,2009.0,11,99,0.12,0.32,0.0,0.06,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Star Wars: Jedi Starfighter,7,2002.0,8,5,0.24,0.19,0.0,0.06,0.5,81.0,22.0,8.3,8.0,144,3,44.65
Tactics Ogre: The Knight of Lodis,9,2001.0,4,1,0.13,0.05,0.31,0.01,0.5,88.0,20.0,9.1,26.0,639,1,48.55
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",6,2010.0,7,5,0.24,0.18,0.0,0.08,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Super Robot Taisen MX,7,2004.0,12,57,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Sega Bass Fishing,1,2008.0,1,9,0.45,0.01,0.0,0.04,0.5,59.0,29.0,6.3,9.0,268,1,32.65
Bases Loaded '96: Double Header,13,1995.0,1,164,0.28,0.19,0.0,0.03,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Dead or Alive Ultimate,14,2004.0,10,49,0.3,0.1,0.08,0.02,0.5,83.0,64.0,8.7,25.0,226,2,45.85
RPG Maker,13,1997.0,4,50,0.11,0.07,0.29,0.03,0.5,66.0,11.0,8.2,9.0,640,1,37.1
Major League Baseball 2K12,5,2012.0,1,3,0.47,0.0,0.0,0.03,0.5,68.0,19.0,6.4,22.0,84,1,37.2
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Dance Dance Revolution Universe 2,5,2007.0,8,15,0.46,0.0,0.0,0.04,0.5,65.0,10.0,7.4,5.0,70,4,36.2
Burnout Revenge,5,2006.0,3,8,0.42,0.04,0.0,0.04,0.5,89.0,61.0,8.1,140.0,140,4,48.55
Star Wars: Clone Wars,7,2002.0,7,19,0.24,0.19,0.0,0.06,0.5,0.0,0.0,0.0,0.0,0,0,0.0
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,7,2004.0,9,29,0.24,0.19,0.0,0.06,0.5,65.0,8.0,7.3,8.0,167,1,36.15
Madden NFL 13,1,2012.0,1,8,0.47,0.0,0.0,0.03,0.5,0.0,0.0,7.3,4.0,58,1,3.65
Madden NFL 11,7,2010.0,1,8,0.41,0.02,0.0,0.07,0.5,0.0,0.0,7.0,4.0,58,1,3.5
Monster Hunter,7,2004.0,4,13,0.11,0.08,0.28,0.03,0.5,68.0,37.0,8.9,46.0,49,3,38.45
NBA Street Homecourt,5,2007.0,1,8,0.45,0.01,0.0,0.04,0.5,80.0,42.0,8.2,30.0,36,1,44.1
Tony Hawk's Underground 2,20,2004.0,1,5,0.38,0.1,0.0,0.01,0.5,82.0,30.0,8.9,17.0,61,3,45.45
SplashDown: Rides Gone Wild,7,2003.0,3,29,0.24,0.19,0.0,0.06,0.5,80.0,25.0,8.7,16.0,168,1,44.35
Super Famista 5,8,1996.0,1,26,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Shrek SuperSlam,7,2005.0,9,5,0.24,0.19,0.0,0.06,0.5,67.0,21.0,9.0,26.0,250,4,38.0
Rayman Advance,9,2001.0,2,6,0.36,0.13,0.0,0.01,0.5,84.0,17.0,8.4,16.0,81,1,46.2
Super Robot Taisen Z,7,2008.0,12,26,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0
PoPoLoCrois Monogatari,13,1996.0,4,4,0.0,0.0,0.46,0.03,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Wet,5,0.0,7,7,0.23,0.21,0.01,0.05,0.5,69.0,79.0,7.3,86.0,251,2,38.15
Tomb Raider: Anniversary,7,2007.0,9,22,0.41,0.02,0.0,0.07,0.5,0.0,0.0,8.2,29.0,299,3,4.1
Fantastic 4,7,2005.0,9,5,0.41,0.01,0.0,0.07,0.5,64.0,42.0,7.8,19.0,642,3,35.9
Men in Black II: Alien Escape,7,2002.0,7,53,0.24,0.19,0.0,0.06,0.5,50.0,19.0,7.3,6.0,319,3,28.65
RealSports Tennis,16,1982.0,1,11,0.46,0.03,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0,0,0.0
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Raiders of the Lost Ark,16,1981.0,9,11,0.46,0.03,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Gauntlet,16,1982.0,9,165,0.46,0.03,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0,0,0.0
Alice: Madness Returns,5,2011.0,11,8,0.27,0.14,0.04,0.04,0.5,70.0,67.0,8.1,157.0,576,2,39.05
Madden NFL 07,1,2006.0,1,8,0.46,0.0,0.0,0.04,0.49,81.0,35.0,8.0,16.0,36,1,44.5
Spider-Man 2,4,2004.0,9,5,0.41,0.02,0.03,0.04,0.49,61.0,46.0,5.0,6.0,68,1,33.0
Ridge Racer 3D,11,2011.0,3,26,0.19,0.15,0.12,0.03,0.49,75.0,59.0,7.2,56.0,146,1,41.1
Picross 3D,4,2009.0,5,1,0.28,0.03,0.16,0.02,0.49,83.0,35.0,8.4,33.0,35,1,45.7
Dynasty Warriors: Gundam 2,6,2008.0,9,26,0.09,0.06,0.32,0.03,0.49,54.0,22.0,7.0,28.0,189,3,30.5
Cars Mater-National Championship,1,2007.0,3,29,0.46,0.0,0.0,0.04,0.49,0.0,0.0,6.7,6.0,403,1,3.35
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Super Monkey Ball 3D,11,2011.0,9,9,0.26,0.15,0.05,0.04,0.49,55.0,57.0,5.5,31.0,181,1,30.25
Euro Truck Simulator,15,2008.0,8,144,0.0,0.42,0.0,0.07,0.49,0.0,0.0,7.6,35.0,644,0,3.8
SpongeBob SquarePants: Creature from the Krusty Krab,1,2006.0,2,29,0.44,0.02,0.0,0.04,0.49,57.0,16.0,5.6,7.0,282,1,31.3
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,6,2015.0,9,16,0.0,0.0,0.49,0.0,0.49,0.0,0.0,0.0,0.0,0,0,0.0
F1 2012,5,2012.0,3,35,0.1,0.34,0.0,0.05,0.49,84.0,42.0,6.9,56.0,295,1,45.45
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Ice Hockey,16,1980.0,1,5,0.46,0.03,0.0,0.01,0.49,0.0,0.0,0.0,0.0,0,0,0.0
Tony Hawk's Project 8,5,2006.0,1,5,0.44,0.02,0.0,0.04,0.49,81.0,65.0,7.6,38.0,61,3,44.3
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Bleach: Soul Resurreccion,6,2011.0,10,132,0.27,0.1,0.07,0.05,0.49,58.0,34.0,7.2,46.0,590,3,32.6
The Matrix: Path of Neo,7,2005.0,9,11,0.41,0.01,0.0,0.07,0.49,69.0,42.0,7.9,42.0,111,3,38.45
Dragon Ball Z: Supersonic Warriors 2,4,2005.0,10,11,0.13,0.02,0.32,0.02,0.49,66.0,13.0,7.6,28.0,497,4,36.8
Sonic Lost World,11,2013.0,2,9,0.24,0.14,0.07,0.03,0.49,59.0,34.0,6.5,144.0,118,4,32.75
WWE Wrestlemania X8,20,2002.0,10,29,0.38,0.1,0.0,0.01,0.49,64.0,25.0,6.9,20.0,157,3,35.45
