Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas NA,Vendas EU,Vendas JP,Outras vendas,Vendas globais,Pontuacao da critica,Contagem de criticas,Pontuacao dos usuarios,Contagem de usuarios,Desenvolvedora,Classificacao,Media de pontuacao
Madden NFL 11,5,2010,1,8,2.38,0.12,0.0,0.18,2.69,84.0,47.0,5.7,120.0,58,1,44.85
Burnout 3: Takedown,7,2004,3,8,1.23,1.11,0.0,0.34,2.68,93.0,52.0,9.1,271.0,140,3,51.05
Yokai Watch 2 Shinuchi,11,2014,4,38,0.0,0.0,2.68,0.0,2.68,0.0,0.0,0.0,0.0,0,0,0.0
Mortal Kombat,21,1992,10,39,1.95,0.63,0.0,0.09,2.67,0.0,0.0,0.0,0.0,0,0,0.0
Mario vs. Donkey Kong: Mini-Land Mayhem!,4,2010,5,1,1.63,0.51,0.35,0.18,2.67,79.0,51.0,7.7,18.0,1,1,43.35
Professor Layton and the Last Specter,4,2009,5,1,0.28,1.39,0.68,0.32,2.67,83.0,58.0,8.7,52.0,50,4,45.85
Call Of Duty 2: Big Red One,7,2005,7,5,1.48,0.92,0.01,0.26,2.67,77.0,39.0,8.2,69.0,7,3,42.6
Medal of Honor,13,1998,7,8,1.44,1.09,0.0,0.14,2.67,92.0,17.0,8.6,80.0,147,3,50.3
Fable,14,2004,4,2,1.99,0.58,0.0,0.09,2.66,85.0,87.0,8.5,268.0,148,2,46.75
Guitar Hero: World Tour,5,2008,6,5,1.78,0.63,0.0,0.25,2.66,85.0,67.0,6.3,171.0,61,3,45.65
FIFA 17,18,2016,1,8,0.43,2.05,0.0,0.17,2.65,84.0,50.0,5.5,201.0,28,1,44.75
Hannah Montana,4,2006,9,33,1.59,0.8,0.0,0.26,2.65,0.0,0.0,6.7,10.0,149,1,3.35
Tom Clancy's Splinter Cell,7,2003,9,6,1.15,1.11,0.0,0.4,2.65,89.0,24.0,7.7,102.0,150,3,48.35
Super Mario Bros.: The Lost Levels,2,1986,2,1,0.0,0.0,2.65,0.0,2.65,0.0,0.0,0.0,0.0,0,0,0.0
Need for Speed: Shift,6,2009,3,8,0.69,1.4,0.04,0.52,2.65,84.0,55.0,6.9,113.0,151,1,45.45
Star Wars: Shadows of the Empire,12,1996,9,1,2.0,0.5,0.12,0.03,2.65,0.0,0.0,0.0,0.0,0,0,0.0
Medal of Honor Heroes,17,2006,7,8,0.86,1.11,0.01,0.66,2.65,71.0,24.0,7.9,47.0,152,3,39.45
Final Fantasy XIII-2,6,2011,4,16,0.78,0.73,0.89,0.23,2.63,79.0,53.0,6.6,707.0,47,3,42.8
Midnight Club: Street Racing,7,2000,3,3,2.0,0.47,0.02,0.14,2.63,78.0,18.0,7.8,21.0,153,3,42.9
Skate 3,5,2010,1,8,1.47,0.93,0.0,0.24,2.63,80.0,65.0,8.0,127.0,31,3,44.0
ESPN NFL 2K5,7,2004,1,9,2.15,0.12,0.0,0.36,2.62,90.0,37.0,8.2,84.0,84,1,49.1
Halo Wars,5,2009,12,2,1.54,0.8,0.04,0.24,2.62,82.0,92.0,7.2,454.0,154,3,44.6
NBA 2K12,5,2011,1,3,2.31,0.14,0.01,0.16,2.62,90.0,42.0,7.7,134.0,84,1,48.85
Pac-Man: Adventures in Time,17,2006,10,4,0.76,1.09,0.12,0.64,2.62,0.0,0.0,0.0,0.0,0,0,0.0
FIFA Soccer 10,5,2009,1,8,0.59,1.79,0.01,0.23,2.62,90.0,63.0,7.5,133.0,19,1,48.75
Medal of Honor,5,2010,7,8,1.56,0.8,0.04,0.21,2.61,74.0,71.0,6.7,288.0,155,2,40.35
Harry Potter and the Chamber of Secrets,7,2002,9,8,0.9,1.22,0.04,0.44,2.61,71.0,16.0,7.6,49.0,23,1,39.3
Streets of Rage,21,1990,9,9,1.86,0.55,0.11,0.08,2.6,0.0,0.0,0.0,0.0,0,0,0.0
God of War Collection,6,2009,9,4,1.7,0.44,0.06,0.4,2.6,91.0,50.0,8.7,529.0,67,2,49.85
NBA Live 2005,7,2004,1,8,2.03,0.21,0.0,0.35,2.59,84.0,21.0,8.1,44.0,36,1,46.05
Mario Strikers Charged,1,2007,1,1,1.05,1.05,0.24,0.24,2.58,79.0,47.0,8.0,124.0,69,4,43.5
FIFA Soccer 09,6,2008,1,8,0.48,1.63,0.04,0.43,2.58,87.0,42.0,7.5,108.0,36,1,47.25
Style Savvy,4,2008,8,1,0.62,0.82,0.96,0.18,2.58,73.0,4.0,7.7,7.0,156,1,40.35
WWE SmackDown vs. RAW 2007,7,2006,10,29,1.4,0.88,0.03,0.26,2.58,80.0,27.0,8.6,57.0,157,3,44.3
LEGO Star Wars: The Complete Saga,5,2007,9,19,1.53,0.81,0.0,0.24,2.57,80.0,24.0,7.4,114.0,51,4,43.7
Ratchet & Clank: Up Your Arsenal,7,2004,2,4,1.31,0.74,0.31,0.22,2.57,0.0,0.0,0.0,0.0,0,0,0.0
Madden NFL 08,7,2007,1,8,2.14,0.08,0.0,0.35,2.57,78.0,11.0,7.8,17.0,58,1,42.9
Monster Hunter Freedom 2,17,2007,4,13,0.37,0.27,1.75,0.18,2.57,72.0,38.0,8.7,83.0,49,3,40.35
Ratchet & Clank Future: Tools of Destruction,6,2007,2,4,0.93,1.1,0.08,0.45,2.56,0.0,0.0,0.0,0.0,0,0,0.0
Super Mario All-Stars: Limited Edition,1,2010,2,1,0.99,0.52,0.92,0.14,2.56,0.0,0.0,0.0,0.0,0,0,0.0
Sonic Adventure 2 Battle,20,2001,2,9,1.7,0.59,0.21,0.07,2.56,73.0,28.0,8.3,179.0,126,1,40.65
Dragon Warrior II,2,1987,4,25,0.15,0.0,2.41,0.0,2.56,0.0,0.0,0.0,0.0,0,0,0.0
Ghostbusters: The Video Game (DS Version),5,2009,9,3,1.04,1.22,0.03,0.27,2.56,0.0,0.0,0.0,0.0,0,0,0.0
Madden NFL 13,6,2012,1,8,2.11,0.22,0.0,0.23,2.56,83.0,22.0,5.5,101.0,58,1,44.25
Dragon Age: Origins,5,2009,4,8,1.76,0.55,0.03,0.22,2.56,86.0,68.0,7.9,725.0,117,2,46.95
Pokémon Colosseum,20,2003,4,1,1.21,0.57,0.7,0.07,2.54,73.0,37.0,8.0,89.0,158,1,40.5
LittleBigPlanet,17,2009,2,4,0.64,1.22,0.01,0.67,2.54,87.0,68.0,7.8,98.0,48,4,47.4
Madden NFL 09,5,2008,1,8,2.21,0.12,0.0,0.2,2.53,83.0,50.0,7.0,125.0,58,1,45.0
Space Invaders,16,0,7,11,2.36,0.14,0.0,0.03,2.53,0.0,0.0,0.0,0.0,0,0,0.0
Crazy Taxi,7,2001,3,31,1.13,1.12,0.06,0.22,2.52,80.0,15.0,7.9,46.0,159,3,43.95
Art Academy,4,2010,6,1,0.26,1.65,0.33,0.28,2.52,75.0,15.0,8.0,5.0,160,1,41.5
NBA 2K14,5,2013,1,3,2.1,0.19,0.0,0.23,2.52,87.0,23.0,4.9,150.0,84,1,45.95
Perfect Dark,12,2000,9,1,1.55,0.75,0.16,0.06,2.52,0.0,0.0,0.0,0.0,0,0,0.0
Skylanders Giants,1,2012,9,5,1.48,0.83,0.0,0.21,2.52,78.0,8.0,7.0,20.0,141,4,42.5
Dragon Warrior,2,1986,4,13,0.49,0.0,0.52,1.51,2.52,0.0,0.0,0.0,0.0,0,0,0.0
Deca Sports,1,2008,1,15,1.11,0.85,0.29,0.25,2.5,50.0,23.0,5.4,16.0,161,1,27.7
PES 2009: Pro Evolution Soccer,7,2008,1,15,0.13,0.07,0.26,2.05,2.5,0.0,0.0,0.0,0.0,0,0,0.0
Mario Party 2,12,1999,6,1,1.28,0.14,1.08,0.01,2.5,0.0,0.0,0.0,0.0,0,0,0.0
Marvel: Ultimate Alliance,5,2006,4,5,2.29,0.02,0.0,0.19,2.5,82.0,68.0,7.5,120.0,162,3,44.75
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,14,2003,9,3,1.84,0.56,0.0,0.09,2.49,0.0,0.0,0.0,0.0,0,0,0.0
Mortal Kombat: Deadly Alliance,7,2002,10,40,1.81,0.52,0.0,0.15,2.49,79.0,31.0,8.8,96.0,163,2,43.9
Game Party,1,2007,6,40,1.47,0.77,0.0,0.24,2.48,25.0,8.0,4.3,26.0,163,1,14.65
Bloodborne,10,2015,9,4,1.03,0.81,0.26,0.38,2.48,92.0,100.0,8.6,6383.0,164,2,50.3
Tomb Raider: The Last Revelation,13,1998,9,22,1.15,1.14,0.06,0.13,2.48,0.0,0.0,0.0,0.0,0,0,0.0
Mario Party 4,20,2002,6,1,1.13,0.36,0.92,0.07,2.47,70.0,26.0,7.4,74.0,22,1,38.7
Pure,5,2008,3,33,1.38,0.84,0.0,0.25,2.47,85.0,55.0,7.7,83.0,165,1,46.35
Rock Band,5,0,6,8,1.93,0.33,0.0,0.21,2.47,92.0,72.0,8.2,178.0,59,3,50.1
NBA 2K13,6,2012,1,3,1.73,0.43,0.05,0.27,2.47,90.0,26.0,8.0,99.0,84,1,49.0
Saints Row: The Third,6,2011,9,29,0.86,1.04,0.18,0.38,2.47,82.0,50.0,7.7,384.0,120,2,44.85
Resistance 2,6,2008,7,4,1.15,0.84,0.1,0.38,2.46,87.0,79.0,6.1,1889.0,74,2,46.55
NBA 2K15,10,2014,1,3,1.47,0.54,0.01,0.43,2.45,83.0,50.0,7.0,291.0,84,1,45.0
Final Fantasy V,8,1992,4,10,0.0,0.0,2.43,0.02,2.45,0.0,0.0,0.0,0.0,0,0,0.0
Final Fantasy Tactics,13,1997,4,10,0.93,0.12,1.34,0.06,2.45,83.0,12.0,8.2,190.0,15,3,45.6
Midnight Club: Los Angeles,6,2008,3,3,1.56,0.53,0.05,0.31,2.45,82.0,50.0,8.2,100.0,40,3,45.1
Twisted Metal 2,13,1996,3,4,2.12,0.25,0.0,0.07,2.44,0.0,0.0,0.0,0.0,0,0,0.0
The Sims: Bustin' Out,7,2003,8,8,1.07,1.19,0.0,0.18,2.43,81.0,26.0,8.4,42.0,90,3,44.7
Riven: The Sequel to Myst,15,1997,11,37,1.52,0.82,0.0,0.1,2.43,83.0,12.0,0.0,0.0,166,1,41.5
LEGO Harry Potter: Years 1-4,1,2010,9,20,1.28,0.93,0.0,0.22,2.43,79.0,13.0,8.0,34.0,51,4,43.5
Need for Speed (2015),10,2015,3,8,0.5,1.5,0.05,0.37,2.43,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Infinite Warfare,18,2016,7,5,1.46,0.74,0.0,0.22,2.42,78.0,17.0,3.1,290.0,8,2,40.55
Madden NFL 16,18,2015,1,8,2.08,0.08,0.0,0.26,2.42,84.0,23.0,6.1,124.0,19,1,45.05
Ice Hockey,2,1988,1,1,1.27,0.32,0.78,0.05,2.42,0.0,0.0,0.0,0.0,0,0,0.0
Sonic Adventure,22,1998,2,9,1.26,0.61,0.46,0.08,2.42,0.0,0.0,0.0,0.0,0,0,0.0
Tom Clancy's Rainbow Six: Vegas 2,5,2008,7,6,1.56,0.6,0.02,0.23,2.42,82.0,66.0,7.8,176.0,53,2,44.9
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Tomb Raider (2013),6,2013,9,16,0.6,1.26,0.08,0.48,2.42,0.0,0.0,0.0,0.0,0,0,0.0
Need for Speed Carbon: Own the City,17,2006,3,8,0.87,0.97,0.0,0.58,2.42,73.0,14.0,7.9,39.0,36,4,40.45
Dragon Ball Z: Budokai 2,7,2003,10,11,1.63,0.22,0.51,0.06,2.41,66.0,28.0,8.2,92.0,118,3,37.1
pro evolution soccer 2011,6,2010,1,15,0.29,1.17,0.54,0.41,2.41,77.0,40.0,6.8,85.0,70,1,41.9
ATV Offroad Fury,7,2001,3,4,2.07,0.26,0.0,0.08,2.41,82.0,16.0,8.4,53.0,168,1,45.2
Dino Crisis,13,1998,9,13,0.81,0.76,0.7,0.14,2.41,0.0,0.0,0.0,0.0,0,0,0.0
Need for Speed: ProStreet,7,2007,3,8,0.69,0.0,0.04,1.68,2.41,62.0,11.0,6.2,34.0,169,4,34.1
Halo: Combat Evolved Anniversary,5,2011,7,2,1.44,0.7,0.04,0.22,2.4,82.0,73.0,8.1,487.0,16,2,45.05
Tetris Plus,13,1996,5,41,2.1,0.24,0.0,0.07,2.4,0.0,0.0,0.0,0.0,0,0,0.0
Pro Wrestling,2,1987,10,1,0.77,0.18,1.42,0.03,2.4,0.0,0.0,0.0,0.0,0,0,0.0
Theme Hospital,15,1997,12,8,2.3,0.1,0.0,0.0,2.4,0.0,0.0,9.0,90.0,170,5,4.5
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Monopoly,15,1994,6,28,1.49,0.81,0.0,0.1,2.39,0.0,0.0,0.0,0.0,0,0,0.0
,21,1993,0,31,1.78,0.53,0.0,0.08,2.39,0.0,0.0,0.0,0.0,0,0,0.0
Guitar Hero,7,2005,6,23,1.67,0.61,0.03,0.07,2.38,91.0,65.0,8.7,173.0,59,3,49.85
Madden NFL 11,6,2010,1,8,2.04,0.15,0.0,0.2,2.38,83.0,36.0,6.1,68.0,58,1,44.55
WCW/nWo Revenge,12,1998,10,29,1.94,0.39,0.03,0.02,2.38,0.0,0.0,0.0,0.0,0,0,0.0
Yu-Gi-Oh! The Duelists of the Roses,7,2001,6,15,1.16,0.91,0.0,0.3,2.38,0.0,0.0,0.0,0.0,0,0,0.0
Dead Island,5,2011,9,42,1.48,0.69,0.0,0.2,2.37,71.0,75.0,6.9,627.0,172,2,38.95
Half-Life 2,15,2004,7,24,2.28,0.02,0.08,0.0,2.37,96.0,81.0,9.1,8665.0,78,2,52.55
The Incredibles,7,2004,9,29,0.96,1.08,0.04,0.3,2.37,62.0,36.0,7.6,22.0,173,3,34.8
Madden NFL 08,5,2007,1,8,2.18,0.01,0.0,0.18,2.37,85.0,46.0,6.4,108.0,58,1,45.7
Tony Hawk's Underground 2,7,2004,1,5,1.25,0.86,0.01,0.26,2.37,83.0,59.0,8.8,55.0,61,3,45.9
Zumba Fitness,5,2010,1,12,1.74,0.45,0.0,0.18,2.37,42.0,10.0,5.5,16.0,39,1,23.75
Madden NFL 10,6,2009,1,8,2.03,0.13,0.0,0.21,2.37,85.0,41.0,6.8,58.0,58,1,45.9
Kirby's Dream Land 2,3,1995,2,1,0.69,0.14,1.48,0.05,2.36,0.0,0.0,0.0,0.0,0,0,0.0
Midnight Club: Los Angeles,5,2008,3,3,1.68,0.45,0.01,0.21,2.35,81.0,66.0,8.5,142.0,40,3,44.75
Donkey Kong Land II,3,1996,2,1,1.39,0.48,0.4,0.08,2.35,0.0,0.0,0.0,0.0,0,0,0.0
Dragon Warrior Monsters,3,1998,4,22,0.0,0.0,2.34,0.01,2.35,0.0,0.0,0.0,0.0,0,0,0.0
Kinect: Disneyland Adventures,5,2011,6,2,1.73,0.43,0.02,0.17,2.35,73.0,33.0,2.9,67.0,174,4,37.95
WWE SmackDown vs Raw 2008,7,2007,10,29,0.92,0.0,0.01,1.41,2.34,71.0,11.0,7.2,31.0,157,3,39.1
The Legend of Zelda: Majora's Mask 3D,11,2015,9,1,1.15,0.55,0.47,0.17,2.34,89.0,82.0,9.0,478.0,175,4,49.0
LEGO Indiana Jones: The Original Adventures,1,0,9,19,1.51,0.61,0.0,0.21,2.34,78.0,22.0,6.6,28.0,51,4,42.3
Resident Evil - Code: Veronica X,7,2001,9,13,1.08,0.7,0.34,0.21,2.34,84.0,21.0,8.4,189.0,49,2,46.2
NBA 2K16,18,2015,1,3,1.95,0.15,0.0,0.24,2.34,86.0,14.0,6.2,115.0,84,4,46.1
Kinect Sports: Season Two,5,2011,1,2,1.38,0.72,0.02,0.22,2.34,66.0,46.0,6.5,39.0,176,1,36.25
My Fitness Coach,1,2008,1,6,1.18,0.9,0.0,0.24,2.32,0.0,0.0,8.6,16.0,13,1,4.3
Mario Tennis,12,2000,1,1,0.78,0.4,1.06,0.07,2.32,0.0,0.0,0.0,0.0,0,0,0.0
Grand Theft Auto,13,1997,9,3,0.79,1.35,0.04,0.14,2.32,0.0,0.0,0.0,0.0,0,0,0.0
James Bond 007: Everything or Nothing,7,2004,7,8,0.85,1.06,0.09,0.32,2.31,84.0,42.0,9.1,51.0,98,3,46.55
Need For Speed: High Stakes,13,1999,3,8,1.58,0.64,0.0,0.09,2.31,86.0,14.0,8.5,28.0,36,1,47.25
Chrono Trigger,8,1995,4,10,0.28,0.0,2.02,0.01,2.31,0.0,0.0,0.0,0.0,0,0,0.0
Guild Wars 2,15,2012,9,43,0.96,1.07,0.0,0.27,2.31,90.0,69.0,7.9,2954.0,177,3,48.95
Cool Boarders 3,13,1998,1,44,1.65,0.46,0.1,0.1,2.31,0.0,0.0,0.0,0.0,0,0,0.0
Paper Mario: Sticker Star,11,2012,4,1,1.12,0.41,0.64,0.14,2.3,75.0,69.0,5.6,382.0,56,1,40.3
WarioWare Touched!,4,2004,5,1,0.51,0.45,1.21,0.13,2.3,0.0,0.0,0.0,0.0,0,0,0.0
Batman: Arkham Origins,6,2013,9,20,1.07,0.8,0.04,0.38,2.29,76.0,46.0,7.7,668.0,178,3,41.85
Tomb Raider II,15,1997,9,22,0.91,1.25,0.0,0.13,2.29,0.0,0.0,8.3,37.0,57,0,4.15
Yokai Watch Busters,11,2015,9,38,0.0,0.0,2.29,0.0,2.29,0.0,0.0,0.0,0.0,0,0,0.0
LEGO Star Wars: The Complete Saga,6,2007,9,19,1.02,0.9,0.0,0.36,2.29,80.0,18.0,6.7,87.0,51,4,43.35
Need for Speed Underground 2,14,2004,3,8,1.38,0.8,0.0,0.1,2.28,77.0,35.0,8.7,27.0,36,1,42.85
Pro Evolution Soccer 2010,6,2009,1,15,0.3,1.27,0.46,0.26,2.28,78.0,42.0,6.7,76.0,70,1,42.35
Mario Bros.,2,1983,2,1,0.51,0.12,1.63,0.02,2.28,0.0,0.0,0.0,0.0,0,0,0.0
FIFA Soccer 09,7,2008,1,8,0.38,0.07,0.01,1.82,2.28,82.0,8.0,6.9,20.0,36,1,44.45
LEGO Harry Potter: Years 1-4,4,2010,9,20,1.07,0.99,0.0,0.22,2.28,72.0,7.0,7.2,6.0,65,4,39.6
The Sims 3,5,2010,8,8,1.27,0.81,0.0,0.2,2.28,76.0,42.0,7.1,71.0,24,3,41.55
Pokemon Ranger: Shadows of Almia,4,2008,4,1,0.94,0.53,0.62,0.18,2.28,68.0,24.0,8.2,27.0,179,1,38.1
TOCA Touring Car Championship,13,1997,3,35,0.07,2.0,0.02,0.18,2.28,0.0,0.0,0.0,0.0,0,0,0.0
Dead Island,6,2011,9,42,1.08,0.73,0.15,0.31,2.27,71.0,41.0,6.6,405.0,172,2,38.8
Kirby: Nightmare in Dream Land,9,2002,2,1,1.22,0.1,0.91,0.04,2.27,81.0,24.0,8.9,54.0,35,1,44.95
Wario Land 4,9,2001,2,1,0.9,0.73,0.54,0.09,2.26,88.0,17.0,8.9,42.0,1,1,48.45
Sonic's Ultimate Genesis Collection,6,2009,6,9,1.34,0.6,0.0,0.31,2.26,80.0,35.0,8.6,43.0,180,4,44.3
Far Cry: Primal,10,2016,9,6,0.6,1.25,0.06,0.35,2.26,76.0,91.0,6.3,635.0,53,2,41.15
Battlefield 1,18,2016,7,8,1.28,0.77,0.0,0.2,2.25,87.0,37.0,8.2,440.0,30,2,47.6
Onimusha 2: Samurai's Destiny,7,2002,11,13,0.62,0.44,1.06,0.13,2.25,84.0,31.0,9.0,52.0,49,2,46.5
Cool Boarders 2,13,1997,1,45,1.52,0.46,0.2,0.08,2.25,0.0,0.0,0.0,0.0,0,0,0.0
Paper Mario: The Thousand-Year Door,20,2004,4,1,1.48,0.25,0.46,0.06,2.25,87.0,55.0,9.4,306.0,56,1,48.2
Madden NFL 12,6,2011,1,8,1.93,0.15,0.0,0.17,2.25,79.0,31.0,5.5,56.0,58,1,42.25
God of War: Ascension,6,2013,9,4,1.23,0.63,0.04,0.35,2.25,80.0,89.0,7.5,914.0,64,2,43.75
Guitar Hero III: Legends of Rock,6,2007,6,5,1.4,0.53,0.02,0.3,2.24,83.0,45.0,7.8,52.0,61,3,45.4
Sonic Advance,9,2001,2,9,1.19,0.71,0.22,0.13,2.24,87.0,22.0,8.1,48.0,126,1,47.55
Super Monkey Ball: Banana Blitz,1,2006,6,9,1.05,0.91,0.04,0.24,2.24,74.0,53.0,5.7,72.0,181,1,39.85
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty 3,1,0,7,5,1.17,0.84,0.0,0.23,2.24,69.0,42.0,6.7,61.0,182,3,37.85
New Super Luigi U,19,2013,2,1,1.25,0.62,0.18,0.18,2.24,77.0,59.0,7.9,288.0,1,1,42.45
Assassin's Creed IV: Black Flag,18,2013,9,6,1.48,0.55,0.0,0.21,2.23,0.0,0.0,7.4,355.0,13,2,3.7
Spyro: Season of Ice,9,2001,2,24,1.29,0.83,0.0,0.11,2.23,74.0,16.0,8.0,13.0,81,1,41.0
Dissidia: Final Fantasy,17,2008,10,16,0.51,0.5,0.91,0.31,2.23,79.0,61.0,8.0,139.0,47,3,43.5
Madden NFL 25,5,2013,1,8,1.98,0.06,0.0,0.19,2.23,80.0,32.0,5.6,136.0,19,1,42.8
Teenage Mutant Ninja Turtles II: The Arcade Game,2,1990,9,15,1.74,0.25,0.21,0.03,2.23,0.0,0.0,0.0,0.0,0,0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Borderlands 2,6,2012,7,3,1.05,0.72,0.1,0.35,2.23,91.0,25.0,8.2,858.0,101,2,49.6
Prince of Persia: The Sands of Time,7,2003,9,6,0.88,1.03,0.0,0.31,2.22,92.0,44.0,8.8,204.0,13,3,50.4
Monster Hunter Tri,1,2009,4,1,0.65,0.4,1.05,0.11,2.22,84.0,70.0,8.6,219.0,49,3,46.3
LEGO Marvel Super Heroes,5,2013,9,20,1.24,0.79,0.0,0.19,2.22,80.0,37.0,7.6,127.0,183,4,43.8
The Legend of Zelda: Link's Awakening DX,3,1998,11,1,1.0,0.63,0.45,0.13,2.22,0.0,0.0,0.0,0.0,0,0,0.0
Resident Evil 4,1,2007,9,13,1.32,0.56,0.14,0.2,2.22,0.0,0.0,0.0,0.0,0,0,0.0
Tom Clancy's Rainbow Six: Siege,10,2015,7,6,0.55,1.19,0.14,0.33,2.21,73.0,40.0,7.3,480.0,53,2,40.15
Star Wars: The Force Unleashed,6,2008,9,19,1.01,0.85,0.0,0.35,2.21,71.0,47.0,6.6,233.0,144,3,38.8
Devil May Cry 3: Dante's Awakening Special Edition,7,2006,9,13,1.06,0.82,0.05,0.28,2.21,0.0,0.0,0.0,0.0,0,0,0.0
Frogger,16,1981,9,46,2.06,0.12,0.0,0.02,2.2,0.0,0.0,0.0,0.0,0,0,0.0
Guitar Hero II,5,2007,6,5,2.01,0.02,0.0,0.17,2.2,92.0,55.0,8.1,220.0,59,3,50.05
Forza Motorsport 5,18,2013,3,2,1.21,0.79,0.01,0.19,2.2,79.0,76.0,5.9,1095.0,54,1,42.45
Rock Band 2,5,2008,6,8,1.78,0.24,0.0,0.18,2.2,92.0,69.0,8.3,156.0,59,3,50.15
Pro Yakyuu Family Stadium,2,1986,1,26,0.15,0.0,2.05,0.0,2.2,0.0,0.0,0.0,0.0,0,0,0.0
Wario Land 3,3,2000,2,1,1.11,0.51,0.34,0.23,2.2,0.0,0.0,0.0,0.0,0,0,0.0
Need for Speed: Hot Pursuit,5,2010,3,8,1.03,0.96,0.0,0.21,2.2,88.0,73.0,7.0,206.0,140,4,47.5
LEGO Indiana Jones: The Original Adventures,4,2008,9,5,1.4,0.59,0.0,0.2,2.2,80.0,15.0,7.9,16.0,65,1,43.95
BioShock 2,5,2010,7,3,1.45,0.54,0.02,0.19,2.2,88.0,93.0,8.2,573.0,184,2,48.1
High School Musical: Makin' the Cut!,4,2007,5,33,1.06,0.9,0.0,0.23,2.2,0.0,0.0,0.0,0.0,0,0,0.0
Star Wars: Knights of the Old Republic,14,2003,4,5,1.68,0.44,0.0,0.08,2.19,94.0,72.0,9.2,317.0,117,3,51.6
Kirby's Pinball Land,3,1992,6,1,0.87,0.17,1.1,0.05,2.19,0.0,0.0,0.0,0.0,0,0,0.0
Donkey Kong Country,3,2000,2,1,1.04,0.72,0.3,0.13,2.19,0.0,0.0,0.0,0.0,0,0,0.0
Madden NFL 15,10,2014,1,8,1.54,0.25,0.0,0.4,2.19,81.0,37.0,6.1,208.0,19,1,43.55
Pro Evolution Soccer 2012,6,2011,9,15,0.34,0.96,0.55,0.33,2.19,80.0,41.0,6.6,132.0,70,1,43.3
Saints Row,5,2006,9,29,1.17,0.77,0.02,0.22,2.18,81.0,74.0,7.5,211.0,120,2,44.25
Yu-Gi-Oh: Duel Monsters 4,3,2000,4,15,0.0,0.0,2.17,0.01,2.18,0.0,0.0,0.0,0.0,0,0,0.0
ATV Offroad Fury 2,7,2002,3,29,1.92,0.2,0.0,0.06,2.18,82.0,26.0,8.9,28.0,168,1,45.45
FIFA 15,18,2014,1,8,0.6,1.42,0.0,0.16,2.18,82.0,33.0,5.4,347.0,19,1,43.7
Mario & Luigi: Superstar Saga,9,2003,4,1,1.48,0.17,0.47,0.06,2.17,0.0,0.0,0.0,0.0,0,0,0.0
Star Wars: Rogue Squadron,12,1998,8,1,1.6,0.46,0.08,0.03,2.17,0.0,0.0,0.0,0.0,0,0,0.0
Tennis,2,1984,1,1,0.48,0.11,1.56,0.02,2.17,0.0,0.0,0.0,0.0,0,0,0.0
Tom Clancy's The Division,18,2016,7,6,1.29,0.68,0.0,0.2,2.16,80.0,33.0,6.9,614.0,89,2,43.45
Final Fantasy XIII,5,2010,4,16,1.28,0.67,0.01,0.21,2.16,82.0,54.0,6.3,539.0,47,3,44.15
The Sims: House Party,15,2001,8,8,1.23,0.83,0.0,0.1,2.16,74.0,17.0,7.9,30.0,90,3,40.95
Scribblenauts,4,2009,5,20,1.67,0.3,0.02,0.18,2.16,79.0,72.0,7.6,110.0,185,4,43.3
Sonic Unleashed,1,2008,2,9,1.26,0.67,0.02,0.21,2.16,66.0,30.0,7.3,136.0,126,4,36.65
Syphon Filter 2,13,2000,7,4,1.5,0.55,0.02,0.08,2.15,0.0,0.0,0.0,0.0,0,0,0.0
Pokemon Ranger,4,2006,4,1,1.28,0.03,0.73,0.12,2.15,69.0,21.0,7.6,50.0,35,1,38.3
Volleyball,2,1987,1,1,0.14,0.03,1.98,0.0,2.15,0.0,0.0,0.0,0.0,0,0,0.0
Skylanders SWAP Force,1,2013,2,5,1.21,0.75,0.0,0.19,2.15,0.0,0.0,6.6,5.0,186,4,3.3
Overwatch,10,2016,7,5,0.81,0.85,0.15,0.33,2.14,90.0,31.0,6.1,1358.0,42,3,48.05
Hitman: Absolution,6,2012,9,16,0.59,1.05,0.07,0.44,2.14,83.0,30.0,7.5,511.0,127,2,45.25
SimCity 2000,15,1992,8,47,1.2,0.84,0.0,0.1,2.14,0.0,0.0,0.0,0.0,0,0,0.0
R.C. Pro-Am,2,1988,3,1,1.47,0.38,0.19,0.1,2.14,0.0,0.0,0.0,0.0,0,0,0.0
Super Mario RPG: Legend of the Seven Stars,8,1996,4,1,0.66,0.0,1.45,0.03,2.14,0.0,0.0,0.0,0.0,0,0,0.0
Mahjong,2,1983,6,1,0.01,0.0,2.13,0.0,2.14,0.0,0.0,0.0,0.0,0,0,0.0
Demon Attack,16,1981,7,48,1.99,0.12,0.0,0.02,2.13,0.0,0.0,0.0,0.0,0,0,0.0
Call of Duty: Roads to Victory,17,2007,7,5,0.52,1.02,0.0,0.59,2.13,64.0,45.0,7.5,30.0,187,3,35.75
